GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
GPATCH8	SPEN	0.023575644266566224	Co-expression	Arijs-Rutgeerts-2009
HCLS1	ADAM17	0.004169776895697092	Co-expression	Arijs-Rutgeerts-2009
HCLS1	CARD8	0.00486966068012114	Co-expression	Arijs-Rutgeerts-2009
HCLS1	CTSH	0.0015278947595821974	Co-expression	Arijs-Rutgeerts-2009
HCLS1	DENND4A	0.004067597144091201	Co-expression	Arijs-Rutgeerts-2009
HCLS1	ENPP2	0.0015358289312587285	Co-expression	Arijs-Rutgeerts-2009
HCLS1	FAM65B	0.0016480906595278926	Co-expression	Arijs-Rutgeerts-2009
HCLS1	GSAP	0.004182266780389333	Co-expression	Arijs-Rutgeerts-2009
HCLS1	LAPTM5	9.78232622929753E-4	Co-expression	Arijs-Rutgeerts-2009
HCLS1	OGT	0.003317901569303503	Co-expression	Arijs-Rutgeerts-2009
HCLS1	PSAP	0.0035670889264210774	Co-expression	Arijs-Rutgeerts-2009
HCLS1	STX2	0.004354869430678108	Co-expression	Arijs-Rutgeerts-2009
HEXB	GIN1	0.0174422811868955	Co-expression	Arijs-Rutgeerts-2009
HEXB	GOLGA7	0.010187122494982196	Co-expression	Arijs-Rutgeerts-2009
HEXB	SOCS2	0.017291520195711178	Co-expression	Arijs-Rutgeerts-2009
HEXB	TMCO1	0.011193886713689115	Co-expression	Arijs-Rutgeerts-2009
HIF1A	CMTM6	0.008945327191853068	Co-expression	Arijs-Rutgeerts-2009
HIF1A	CRY1	0.006838389660955002	Co-expression	Arijs-Rutgeerts-2009
HIF1A	IFITM2	0.002553037089644173	Co-expression	Arijs-Rutgeerts-2009
HIF1A	NBN	0.008879344153327686	Co-expression	Arijs-Rutgeerts-2009
HIF1A	PLSCR1	0.008277710177550315	Co-expression	Arijs-Rutgeerts-2009
HIF1A	REL	0.007597949808241326	Co-expression	Arijs-Rutgeerts-2009
HIF1A	RLF	0.0049712589038810396	Co-expression	Arijs-Rutgeerts-2009
HLA-B	ZFC3H1	0.01866900615268245	Co-expression	Arijs-Rutgeerts-2009
HMGN4	ARMC1	0.019847213669985177	Co-expression	Arijs-Rutgeerts-2009
HNRNPA1	EIF3E	0.005293284167041921	Co-expression	Arijs-Rutgeerts-2009
HNRNPA1	SF3A3	0.005486178970178846	Co-expression	Arijs-Rutgeerts-2009
HNRNPA1	TCERG1	0.00589340197255416	Co-expression	Arijs-Rutgeerts-2009
HNRNPA2B1	CCNL1	0.02886431283927496	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	BTAF1	0.011114910869715795	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	DENND4A	0.026994539073123183	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	DMTF1	0.01392724208935647	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	OGT	0.024152725667512642	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	PAXIP1	0.009578141431372813	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	PPWD1	0.010498920193740581	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	TBC1D4	0.011272768723020622	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	TCERG1	0.005265985282716065	Co-expression	Arijs-Rutgeerts-2009
HNRNPH1	TOP2B	0.0063569623884537985	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	DDX5	0.02100459318924834	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	DHX15	0.007001444636439003	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	EIF3E	0.004611060638385262	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	MAGOH	0.0066647070891744506	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	PPWD1	0.010896443245795893	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	SETD2	0.017626241532843027	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	YY1AP1	0.01901684787745067	Co-expression	Arijs-Rutgeerts-2009
HNRNPH3	ZCCHC8	0.01977222826762172	Co-expression	Arijs-Rutgeerts-2009
HNRNPK	DHX15	0.011309663845693945	Co-expression	Arijs-Rutgeerts-2009
HNRNPK	EIF3E	0.006507507724584123	Co-expression	Arijs-Rutgeerts-2009
HNRNPK	TCERG1	0.006904735279828804	Co-expression	Arijs-Rutgeerts-2009
HNRNPR	PCNA	0.009713134087177586	Co-expression	Arijs-Rutgeerts-2009
HNRNPR	PRPS2	0.0070508856153453	Co-expression	Arijs-Rutgeerts-2009
HNRNPR	RCN2	0.010646849683452562	Co-expression	Arijs-Rutgeerts-2009
HNRNPR	TOP2B	0.008452995757795224	Co-expression	Arijs-Rutgeerts-2009
HTATSF1	CEBPZ	0.013204791896686576	Co-expression	Arijs-Rutgeerts-2009
HTATSF1	PPIP5K2	0.008230271004336091	Co-expression	Arijs-Rutgeerts-2009
HTATSF1	PRPS2	0.008137369770272924	Co-expression	Arijs-Rutgeerts-2009
HTATSF1	SLC35A1	0.008927298593961004	Co-expression	Arijs-Rutgeerts-2009
HTATSF1	SMAD5	0.01608773203807198	Co-expression	Arijs-Rutgeerts-2009
HTATSF1	TRIT1	0.014429084569784345	Co-expression	Arijs-Rutgeerts-2009
IFITM2	FAM129A	0.0025628263474960795	Co-expression	Arijs-Rutgeerts-2009
IFRD1	GOLGA7	0.011210514376841084	Co-expression	Arijs-Rutgeerts-2009
ITCH	EPS8	0.00814858794863529	Co-expression	Arijs-Rutgeerts-2009
ITCH	GNA13	0.014729849290131318	Co-expression	Arijs-Rutgeerts-2009
ITCH	ZNF217	0.013492814037297117	Co-expression	Arijs-Rutgeerts-2009
KCTD12	BCLAF1	0.007828901555077218	Co-expression	Arijs-Rutgeerts-2009
KCTD12	HIPK1	0.008151259766594365	Co-expression	Arijs-Rutgeerts-2009
KCTD12	ITPR2	0.008455150662113418	Co-expression	Arijs-Rutgeerts-2009
KCTD12	RBM12	0.009483218636956135	Co-expression	Arijs-Rutgeerts-2009
KCTD12	SH2B3	0.005546483778208021	Co-expression	Arijs-Rutgeerts-2009
KCTD12	SMAD5	0.005092095286990446	Co-expression	Arijs-Rutgeerts-2009
KCTD12	STAG2	0.006998329984819426	Co-expression	Arijs-Rutgeerts-2009
KDM6A	ZFX	0.0284362523730848	Co-expression	Arijs-Rutgeerts-2009
KIAA0907	CLK4	0.017740467923925213	Co-expression	Arijs-Rutgeerts-2009
KIAA0907	PRPF4B	0.014137204508417737	Co-expression	Arijs-Rutgeerts-2009
KIAA0907	RBM5	0.01668886473931544	Co-expression	Arijs-Rutgeerts-2009
KIAA0907	UPF3B	0.01805822165310623	Co-expression	Arijs-Rutgeerts-2009
KIAA0907	ZFC3H1	0.01603902033541699	Co-expression	Arijs-Rutgeerts-2009
KIAA0907	ZNF12	0.009013105435236349	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	ARGLU1	0.012629623405455774	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	BTAF1	0.007838252917933983	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	CEBPZ	0.007497326147778883	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	EIF3E	0.0033701047025893965	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	NUP153	0.015247162962906324	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	SRSF11	0.013609162408261774	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	TCERG1	0.0036768873924537104	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	U2SURP	0.013358697994593521	Co-expression	Arijs-Rutgeerts-2009
KIAA0947	ZBTB11	0.013408178482822688	Co-expression	Arijs-Rutgeerts-2009
KIAA1033	NR3C1	0.013834895632035268	Co-expression	Arijs-Rutgeerts-2009
KIAA1033	RFX7	0.01992154222985593	Co-expression	Arijs-Rutgeerts-2009
KIAA1033	SNAPC1	0.009280059229426527	Co-expression	Arijs-Rutgeerts-2009
KIF3A	HIF1A	0.007095065269422758	Co-expression	Arijs-Rutgeerts-2009
KIF3A	SNAPC1	0.0077575748806336855	Co-expression	Arijs-Rutgeerts-2009
KIF5B	SCAF8	0.013559446510317172	Co-expression	Arijs-Rutgeerts-2009
KLF6	AMD1	0.006648242813534767	Co-expression	Arijs-Rutgeerts-2009
KLF6	PIGA	0.009083833708060582	Co-expression	Arijs-Rutgeerts-2009
KRIT1	SENP7	0.01787842460205612	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	ADAM17	0.0052020805991958175	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	CARD8	0.00584028580351007	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	CRLF3	0.002250354109360779	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	CTSH	0.0018421839121252042	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	ENPP2	0.0018623519810062154	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	FAM65B	0.001996140219796628	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	GPNMB	0.0038153589264482675	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	GSAP	0.005047045193143511	Co-expression	Arijs-Rutgeerts-2009
LAPTM5	ROCK1	0.0037170745471440786	Co-expression	Arijs-Rutgeerts-2009
LIG4	CHUK	0.014294942187532167	Co-expression	Arijs-Rutgeerts-2009
LIG4	MAP4K5	0.009353922731642662	Co-expression	Arijs-Rutgeerts-2009
LIG4	NAA50	0.006944729826570181	Co-expression	Arijs-Rutgeerts-2009
LIG4	SEC24B	0.011567476993415997	Co-expression	Arijs-Rutgeerts-2009
LPL	AKR1C1	0.01279664989099909	Co-expression	Arijs-Rutgeerts-2009
LRBA	CTBP2	0.016094372896757695	Co-expression	Arijs-Rutgeerts-2009
LUC7L3	AGO3	0.005147379530127021	Co-expression	Arijs-Rutgeerts-2009
LUC7L3	PNISR	0.011408660215920685	Co-expression	Arijs-Rutgeerts-2009
LUC7L3	SCAF11	0.026795298496555726	Co-expression	Arijs-Rutgeerts-2009
LYN	FAM129A	0.003667312554989463	Co-expression	Arijs-Rutgeerts-2009
LYN	SAT1	0.013040074237198468	Co-expression	Arijs-Rutgeerts-2009
LYN	SAV1	0.012575115355891413	Co-expression	Arijs-Rutgeerts-2009
MAGOH	DERL1	0.008668439272293793	Co-expression	Arijs-Rutgeerts-2009
MAGOH	MAP3K7	0.009345204341062709	Co-expression	Arijs-Rutgeerts-2009
MAGOH	NUDT21	0.008006220219228139	Co-expression	Arijs-Rutgeerts-2009
MAGOH	PAPOLA	0.008899103753427985	Co-expression	Arijs-Rutgeerts-2009
MAGOH	PCNA	0.0035054893649570204	Co-expression	Arijs-Rutgeerts-2009
MAGOH	RPRD1A	0.009184104253949874	Co-expression	Arijs-Rutgeerts-2009
MAGOH	SMNDC1	0.007844687175785523	Co-expression	Arijs-Rutgeerts-2009
MAGOH	SRSF10	0.010342177655695938	Co-expression	Arijs-Rutgeerts-2009
MAML1	ABL1	0.005556553716874481	Co-expression	Arijs-Rutgeerts-2009
MAML1	CBLB	0.012009630764318198	Co-expression	Arijs-Rutgeerts-2009
MAML1	PTPRA	0.014190313269463791	Co-expression	Arijs-Rutgeerts-2009
MAP3K8	HCLS1	0.003677562754941518	Co-expression	Arijs-Rutgeerts-2009
MAP3K8	HIF1A	0.009087915514979575	Co-expression	Arijs-Rutgeerts-2009
MAP3K8	IFITM2	0.006764184156162773	Co-expression	Arijs-Rutgeerts-2009
MAP3K8	WSB1	0.018505146174744972	Co-expression	Arijs-Rutgeerts-2009
MAP3K8	ZCCHC6	0.02224690129046388	Co-expression	Arijs-Rutgeerts-2009
MARCH7	DMTF1	0.010136328321767604	Co-expression	Arijs-Rutgeerts-2009
MARCH7	SENP7	0.01365795724511697	Co-expression	Arijs-Rutgeerts-2009
MATR3	EIF3E	0.00573343695536294	Co-expression	Arijs-Rutgeerts-2009
MATR3	SF3A3	0.005948432285980206	Co-expression	Arijs-Rutgeerts-2009
MATR3	TCERG1	0.0059042954336691895	Co-expression	Arijs-Rutgeerts-2009
MATR3	TOP2B	0.006655577143147934	Co-expression	Arijs-Rutgeerts-2009
MED23	RASA1	0.011928672869314238	Co-expression	Arijs-Rutgeerts-2009
MED23	SCAF8	0.014645360249395865	Co-expression	Arijs-Rutgeerts-2009
MED23	TOP2B	0.008181450651043209	Co-expression	Arijs-Rutgeerts-2009
MFAP1	RAP1B	0.01480075700113025	Co-expression	Arijs-Rutgeerts-2009
MFAP1	SH3GLB1	0.01659982389534102	Co-expression	Arijs-Rutgeerts-2009
MFN1	NAA50	0.01093307579609431	Co-expression	Arijs-Rutgeerts-2009
MFN1	PIGA	0.013084531279646908	Co-expression	Arijs-Rutgeerts-2009
MGEA5	DMTF1	0.01874198810313205	Co-expression	Arijs-Rutgeerts-2009
MORC3	CRLF3	0.008605244110363418	Co-expression	Arijs-Rutgeerts-2009
MORC3	MAGOH	0.006192393300481899	Co-expression	Arijs-Rutgeerts-2009
MORC3	PCNA	0.0057357593627478855	Co-expression	Arijs-Rutgeerts-2009
MORC3	RAD21	0.018747605011866716	Co-expression	Arijs-Rutgeerts-2009
MORC3	STRN3	0.018504550242458354	Co-expression	Arijs-Rutgeerts-2009
MTF2	PAN2	0.0107410111002931	Co-expression	Arijs-Rutgeerts-2009
MTF2	PNISR	0.010618725630456351	Co-expression	Arijs-Rutgeerts-2009
NAA50	MAP4K5	0.005929760426925168	Co-expression	Arijs-Rutgeerts-2009
NAA50	PIGA	0.004661817360054217	Co-expression	Arijs-Rutgeerts-2009
NBN	FAM129A	0.006421722284191999	Co-expression	Arijs-Rutgeerts-2009
NBN	IFITM2	0.006291750604835273	Co-expression	Arijs-Rutgeerts-2009
NEK4	PIGA	0.010119843056800146	Co-expression	Arijs-Rutgeerts-2009
NFAT5	AGO3	0.007176133461286397	Co-expression	Arijs-Rutgeerts-2009
NFAT5	B2M	0.01534490079657748	Co-expression	Arijs-Rutgeerts-2009
NFAT5	BTAF1	0.010171603562203263	Co-expression	Arijs-Rutgeerts-2009
NFAT5	CPSF7	0.002706200535747797	Co-expression	Arijs-Rutgeerts-2009
NFAT5	PABPC1	0.020327087320675615	Co-expression	Arijs-Rutgeerts-2009
NFAT5	PNISR	0.009419847329294632	Co-expression	Arijs-Rutgeerts-2009
NFAT5	RGL2	0.00578978342310709	Co-expression	Arijs-Rutgeerts-2009
NFAT5	RLF	0.014518257111501669	Co-expression	Arijs-Rutgeerts-2009
NFAT5	SCAF11	0.02742979352851923	Co-expression	Arijs-Rutgeerts-2009
NFAT5	SPEN	0.027393568418112905	Co-expression	Arijs-Rutgeerts-2009
NFAT5	TRIM52	0.007891005271963313	Co-expression	Arijs-Rutgeerts-2009
NFAT5	ZC3H11A	0.028926016524266997	Co-expression	Arijs-Rutgeerts-2009
NFKB1	NSMAF	0.015035007776425779	Co-expression	Arijs-Rutgeerts-2009
NIPBL	ARMC1	0.01927962438385825	Co-expression	Arijs-Rutgeerts-2009
NIPBL	MAN2A1	0.017668770026468883	Co-expression	Arijs-Rutgeerts-2009
NR3C1	ENPP2	0.004642745469105121	Co-expression	Arijs-Rutgeerts-2009
NUDT21	PAPOLA	0.018428955738033978	Co-expression	Arijs-Rutgeerts-2009
OGT	STX16	0.0195396879167621	Co-expression	Arijs-Rutgeerts-2009
PABPC1	AGO3	0.004677812874040267	Co-expression	Arijs-Rutgeerts-2009
PABPC1	CPSF7	0.00274930911677558	Co-expression	Arijs-Rutgeerts-2009
PAN2	ANKRD10	0.010002630419397711	Co-expression	Arijs-Rutgeerts-2009
PAN2	C1orf63	0.0068665742126018565	Co-expression	Arijs-Rutgeerts-2009
PAN2	FNBP4	0.01397300047012694	Co-expression	Arijs-Rutgeerts-2009
PAN2	LUC7L3	0.01144438569801488	Co-expression	Arijs-Rutgeerts-2009
PAN2	N4BP2L2	0.010811422475423481	Co-expression	Arijs-Rutgeerts-2009
PAN2	PNISR	0.005467982457664586	Co-expression	Arijs-Rutgeerts-2009
PAN2	RBM5	0.010607771670690677	Co-expression	Arijs-Rutgeerts-2009
PAN2	SCAF11	0.00952019524760788	Co-expression	Arijs-Rutgeerts-2009
PAN2	ZFC3H1	0.01332775890234283	Co-expression	Arijs-Rutgeerts-2009
PAPD7	ARGLU1	0.015576384273050328	Co-expression	Arijs-Rutgeerts-2009
PAPD7	BTAF1	0.010259481350485704	Co-expression	Arijs-Rutgeerts-2009
PAPD7	CCNL1	0.01826697409915461	Co-expression	Arijs-Rutgeerts-2009
PAPD7	DDX17	0.013574065782889923	Co-expression	Arijs-Rutgeerts-2009
PAPD7	HNRNPA2B1	0.02133564839046222	Co-expression	Arijs-Rutgeerts-2009
PAPD7	KIAA0947	0.01158908036191689	Co-expression	Arijs-Rutgeerts-2009
PAPD7	PPWD1	0.009512683537597242	Co-expression	Arijs-Rutgeerts-2009
PAPD7	PRPF3	0.0114417863138144	Co-expression	Arijs-Rutgeerts-2009
PAPD7	SETD2	0.0149431732940801	Co-expression	Arijs-Rutgeerts-2009
PAPD7	SF3B1	0.015285327322576842	Co-expression	Arijs-Rutgeerts-2009
PAPD7	SREK1	0.014022196161987086	Co-expression	Arijs-Rutgeerts-2009
PAPD7	TCERG1	0.004414921543663095	Co-expression	Arijs-Rutgeerts-2009
PAPD7	TIA1	0.015094591127757132	Co-expression	Arijs-Rutgeerts-2009
PAPD7	YY1AP1	0.014774908026642632	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	BCLAF1	0.01084020254780151	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	CDK12	0.0077846239508034785	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	CEBPZ	0.005915753137301455	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	CPSF6	0.013018671707755496	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	CREBZF	0.008348240903760198	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	DHX15	0.004061495011485037	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	PPIG	0.010108757399291571	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	PUM1	0.012696882265865494	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	SETD2	0.008463061580907219	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	SF3A3	0.0026636129839153607	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	SREK1	0.008025526285226329	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	SRSF11	0.00871175383682258	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	TCERG1	0.003134015920669527	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	TRIT1	0.006274320820117957	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	U2SURP	0.009519015729698035	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	UPF2	0.009321154686987455	Co-expression	Arijs-Rutgeerts-2009
PAXIP1	UPF3A	0.008878888149892896	Co-expression	Arijs-Rutgeerts-2009
PCF11	STX16	0.022026136364041275	Co-expression	Arijs-Rutgeerts-2009
PCF11	TOP2B	0.00538647842858304	Co-expression	Arijs-Rutgeerts-2009
PCNA	CENPU	0.009329827806468289	Co-expression	Arijs-Rutgeerts-2009
PCNA	NUP43	0.009685159840363925	Co-expression	Arijs-Rutgeerts-2009
PCNA	SRSF10	0.010581343226134299	Co-expression	Arijs-Rutgeerts-2009
PDE4B	CCNL1	0.009844766804316635	Co-expression	Arijs-Rutgeerts-2009
PDE4B	FAM129A	0.004420524871068027	Co-expression	Arijs-Rutgeerts-2009
PDS5A	PAXIP1	0.011908434218674142	Co-expression	Arijs-Rutgeerts-2009
PDS5A	PRPS2	0.00761235671820365	Co-expression	Arijs-Rutgeerts-2009
PDS5A	RASA1	0.014793762204760497	Co-expression	Arijs-Rutgeerts-2009
PDS5A	TOP2B	0.007685248126455009	Co-expression	Arijs-Rutgeerts-2009
PDS5A	TRIT1	0.013310184661663772	Co-expression	Arijs-Rutgeerts-2009
PHKB	NBPF1	0.008467252038464105	Co-expression	Arijs-Rutgeerts-2009
PIGA	MAP4K5	0.006214148532942574	Co-expression	Arijs-Rutgeerts-2009
PIK3CA	BNIP2	0.019348958306829533	Co-expression	Arijs-Rutgeerts-2009
PIK3R1	AUTS2	0.017302469216811493	Co-expression	Arijs-Rutgeerts-2009
PIK3R1	NBPF1	0.005644466898925326	Co-expression	Arijs-Rutgeerts-2009
PIK3R1	ZNF12	0.009555493535148545	Co-expression	Arijs-Rutgeerts-2009
PJA2	BCLAF1	0.012848354424861475	Co-expression	Arijs-Rutgeerts-2009
PJA2	CCNT2	0.011053312542918078	Co-expression	Arijs-Rutgeerts-2009
PJA2	MED23	0.01298230337605377	Co-expression	Arijs-Rutgeerts-2009
PJA2	PHF3	0.01415087802657429	Co-expression	Arijs-Rutgeerts-2009
PJA2	RAD21	0.012361056313915075	Co-expression	Arijs-Rutgeerts-2009
PJA2	SLC26A2	0.0021523397104295343	Co-expression	Arijs-Rutgeerts-2009
PJA2	SMG1	0.011401506559148556	Co-expression	Arijs-Rutgeerts-2009
PJA2	STAG2	0.013383867902594314	Co-expression	Arijs-Rutgeerts-2009
PJA2	TOP2B	0.003606171054737428	Co-expression	Arijs-Rutgeerts-2009
PNISR	AGO3	0.0025258480906225496	Co-expression	Arijs-Rutgeerts-2009
PNISR	ANKRD10	0.010363535737150681	Co-expression	Arijs-Rutgeerts-2009
PNISR	ATF7IP	0.011834045571708193	Co-expression	Arijs-Rutgeerts-2009
PNISR	CLK4	0.01131725457435032	Co-expression	Arijs-Rutgeerts-2009
PNISR	N4BP2L2	0.011366130899183936	Co-expression	Arijs-Rutgeerts-2009
PNISR	RFX7	0.007209447228463744	Co-expression	Arijs-Rutgeerts-2009
PNISR	SCAF11	0.010799906330917803	Co-expression	Arijs-Rutgeerts-2009
PNISR	SPEN	0.008740259813273199	Co-expression	Arijs-Rutgeerts-2009
PNISR	TCF12	0.010593257756312247	Co-expression	Arijs-Rutgeerts-2009
PNRC1	FAM129A	0.006627074459140888	Co-expression	Arijs-Rutgeerts-2009
PNRC1	FAM65B	0.007458469551847247	Co-expression	Arijs-Rutgeerts-2009
PNRC1	HCLS1	0.0031443655112619266	Co-expression	Arijs-Rutgeerts-2009
PNRC1	LAPTM5	0.003996058107037242	Co-expression	Arijs-Rutgeerts-2009
PNRC1	NR3C1	0.013503062591027386	Co-expression	Arijs-Rutgeerts-2009
PNRC1	SAT1	0.019727989349559955	Co-expression	Arijs-Rutgeerts-2009
PPIG	CEBPZ	0.01301602869867768	Co-expression	Arijs-Rutgeerts-2009
PPIG	EIF3E	0.006208543147760409	Co-expression	Arijs-Rutgeerts-2009
PPIG	TCERG1	0.005907717928762793	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	BCLAF1	0.006951060372449185	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	CCNT2	0.006230229650461509	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	MAP4K5	0.004766447512788933	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	MED23	0.007129190623940725	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	MFN1	0.008920187738955318	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	PDS5A	0.007765064366650207	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	PIGA	0.0037345006278623753	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	PJA2	0.004167609644715501	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	PPP1CB	0.008589896384650256	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	PRPS2	0.00257285986350552	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	RAD21	0.007814691368618351	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	RASA1	0.005149771490382435	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	SEC24B	0.004186066260271987	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	SEPT8	0.0077182096021701	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	STAG1	0.008527294685673821	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	STRN3	0.0083112470077797	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	TMX1	0.007027736444587122	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	UPF2	0.005964611353695423	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	WWP1	0.006489016538370125	Co-expression	Arijs-Rutgeerts-2009
PPIP5K2	YTHDC2	0.005797460989962691	Co-expression	Arijs-Rutgeerts-2009
PPP1CB	EPS8	0.011469080671030344	Co-expression	Arijs-Rutgeerts-2009
PPP1R12A	BNIP2	0.019637674329922975	Co-expression	Arijs-Rutgeerts-2009
PPP1R12A	CRLF3	0.012793104752382411	Co-expression	Arijs-Rutgeerts-2009
PPP1R15A	IFITM2	0.0049386719436223196	Co-expression	Arijs-Rutgeerts-2009
PPP1R15A	PDE4B	0.009679985765289756	Co-expression	Arijs-Rutgeerts-2009
PPP1R15A	TNFAIP3	0.016918823814414227	Co-expression	Arijs-Rutgeerts-2009
PPP1R15A	ZFP36	0.02012651824312666	Co-expression	Arijs-Rutgeerts-2009
PPP2R5E	SMC5	0.02526653298853747	Co-expression	Arijs-Rutgeerts-2009
PPWD1	DDX5	0.011137737381003869	Co-expression	Arijs-Rutgeerts-2009
PPWD1	HNRNPA2B1	0.012065831129878817	Co-expression	Arijs-Rutgeerts-2009
PPWD1	MAP3K7	0.015726526284843022	Co-expression	Arijs-Rutgeerts-2009
PPWD1	ROCK1	0.012722660452816307	Co-expression	Arijs-Rutgeerts-2009
PPWD1	YY1AP1	0.010166529083547163	Co-expression	Arijs-Rutgeerts-2009
PRDX4	DERL1	0.006577133851922465	Co-expression	Arijs-Rutgeerts-2009
PRPF3	ARGLU1	0.015831742904089088	Co-expression	Arijs-Rutgeerts-2009
PRPF3	BTAF1	0.008568967967081722	Co-expression	Arijs-Rutgeerts-2009
PRPF3	DDX17	0.014179525578098526	Co-expression	Arijs-Rutgeerts-2009
PRPF3	DMTF1	0.010565697534277826	Co-expression	Arijs-Rutgeerts-2009
PRPF3	HNRNPA2B1	0.0142533487478809	Co-expression	Arijs-Rutgeerts-2009
PRPF3	MGEA5	0.01782198882678007	Co-expression	Arijs-Rutgeerts-2009
PRPF3	NUP153	0.015967035995369853	Co-expression	Arijs-Rutgeerts-2009
PRPF3	PPWD1	0.008135298000154934	Co-expression	Arijs-Rutgeerts-2009
PRPF3	RBM39	0.01374991519409662	Co-expression	Arijs-Rutgeerts-2009
PRPF3	RBM5	0.013835509672761538	Co-expression	Arijs-Rutgeerts-2009
PRPF3	SETD2	0.014550300818570928	Co-expression	Arijs-Rutgeerts-2009
PRPF3	SF3B1	0.014417610403934217	Co-expression	Arijs-Rutgeerts-2009
PRPF3	SREK1	0.012299586392416685	Co-expression	Arijs-Rutgeerts-2009
PRPF3	SRSF11	0.014394219238573461	Co-expression	Arijs-Rutgeerts-2009
PRPF3	TCERG1	0.003977402710200067	Co-expression	Arijs-Rutgeerts-2009
PRPF3	THUMPD2	0.013136228405511255	Co-expression	Arijs-Rutgeerts-2009
PRPF3	TIA1	0.012452291571530563	Co-expression	Arijs-Rutgeerts-2009
PRPF3	TRA2A	0.014997956262682759	Co-expression	Arijs-Rutgeerts-2009
PRPF3	ZBTB11	0.0146605795698097	Co-expression	Arijs-Rutgeerts-2009
PRPF39	ADNP	0.009016061226453551	Co-expression	Arijs-Rutgeerts-2009
PRPF39	CEP57	0.008129548570566473	Co-expression	Arijs-Rutgeerts-2009
PRPF39	CREBZF	0.01094273170998153	Co-expression	Arijs-Rutgeerts-2009
PRPF39	PCF11	0.010487312683925769	Co-expression	Arijs-Rutgeerts-2009
PRPF39	PHF3	0.011485288547626819	Co-expression	Arijs-Rutgeerts-2009
